producto_id,marca_vehiculo
135,FORD
130,FORD
155,FORD
134,FORD
156,FORD
146,FIAT
145,FIAT
125,FIAT
141,CHEVROLET
149,CHEVROLET
143,CHEVROLET
131,CHEVROLET
131,VW
151,VW
147,VW
162,FIAT
159,RENAULT
142,CHEVROLET
150,FIAT
127,VW
132,RENAULT
138,VW
126,RENAULT
129,RENAULT
133,CHEVROLET
133,SUZUKI
148,CHEVROLET
195,FIAT
194,FIAT
196,FIAT
180,FIAT
181,FIAT
175,FIAT
186,FIAT
171,FIAT
172,FIAT
168,FIAT
191,CHEVROLET
192,CHEVROLET
184,CHEVROLET
174,FIAT
174,CHEVROLET
185,CHEVROLET
177,FORD
197,FORD
197,VW
190,FORD
189,FORD
183,FORD
178,AUDI
178,VW
179,VW
176,FORD
176,VW
187,VW
188,VW
169,VW
170,VW
173,RENAULT
193,RENAULT
193,NISSAN
182,RENAULT
163,RENAULT
164,RENAULT
166,RENAULT
167,RENAULT
165,RENAULT
198,RENAULT
214,VW
218,RENAULT
215,VW
219,RENAULT
216,FIAT
217,CHEVROLET
205,CHEVROLET
207,FIAT
206,FIAT
211,RENAULT
208,FIAT
209,RENAULT
210,VW
199,RENAULT
204,FIAT
200,RENAULT
201,CHEVROLET
202,RENAULT
203,FIAT
212,FIAT
213,RENAULT
227,VW
226,CHEVROLET
225,PEUGEOT
220,RENAULT
221,VW
222,FORD
223,FIAT
224,VW
239,VW
284,VW
261,VW
256,VW
252,VW
287,VW
288,VW
255,VW
258,CHEVROLET
275,CHEVROLET
286,CHEVROLET
266,CHEVROLET
243,CHEVROLET
232,CHEVROLET
240,CHEVROLET
267,CHEVROLET
247,CHEVROLET
283,CHEVROLET
228,CHEVROLET
270,RENAULT
265,RENAULT
274,RENAULT
264,RENAULT
268,RENAULT
279,RENAULT
244,RENAULT
238,RENAULT
230,RENAULT
231,RENAULT
237,RENAULT
281,RENAULT
242,FORD
241,FORD
229,FORD
278,FORD
259,FORD
253,FORD
277,FORD
273,FORD
272,FORD
257,FIAT
250,FIAT
269,FIAT
260,FIAT
263,FIAT
262,FIAT
245,FIAT
285,FIAT
246,FIAT
249,FIAT
248,FIAT
282,FIAT
233,FORD
271,FORD
236,FIAT
234,FIAT
235,FIAT
276,FORD
280,FIAT
254,FORD
251,RENAULT
328,CHEVROLET
335,FIAT
341,RENAULT
327,HONDA
344,FORD
349,RENAULT
350,RENAULT
336,FORD
336,VW
354,VW
356,RENAULT
351,TOYOTA
339,RENAULT
340,CITROEN
346,FIAT
332,CHEVROLET
352,CHEVROLET
345,FORD
338,PEUGEOT
353,FORD
342,VW
329,CHEVROLET
333,VW
330,FIAT
337,FIAT
331,CHEVROLET
334,VW
347,FIAT
343,VW
357,RENAULT
322,FORD
321,CHEVROLET
325,FORD
324,RENAULT
326,TOYOTA
323,VW
348,FIAT
309,RENAULT
319,PEUGEOT
314,FIAT
314,RENAULT
320,FIAT
305,CHEVROLET
305,FIAT
311,CHEVROLET
311,VW
306,FIAT
307,CHEVROLET
307,SUZUKI
312,VW
308,RENAULT
310,CHEVROLET
310,FORD
291,HONDA
290,TOYOTA
318,PEUGEOT
317,VW
316,FORD
313,FIAT
315,FIAT
292,RENAULT
297,CHEVROLET
297,FIAT
299,VW
301,FIAT
301,RENAULT
298,TOYOTA
300,PEUGEOT
302,VW
303,FORD
296,CHEVROLET
304,VW
289,VW
295,CHEVROLET
294,VW
293,VW
363,CHEVROLET
371,CHEVROLET
367,PEUGEOT
368,CHEVROLET
368,SUZUKI
365,FIAT
366,AUDI
366,VW
364,FIAT
361,FORD
362,VW
370,TOYOTA
360,RENAULT
376,FORD
375,PEUGEOT
374,IVECO
379,CHEVROLET
373,CITROEN
372,TOYOTA
377,AUDI
377,VW
358,AUDI
358,VW
369,CHEVROLET
378,PEUGEOT
454,CHEVROLET
458,CHEVROLET
459,CHEVROLET
456,CHEVROLET
457,CHEVROLET
455,CHEVROLET
478,FIAT
479,FIAT
480,FIAT
460,FIAT
461,FIAT
462,FIAT
463,FIAT
464,FORD
465,FORD
481,FORD
482,RENAULT
466,RENAULT
467,RENAULT
473,VW
470,VW
469,VW
468,VW
471,VW
472,VW
476,VW
477,VW
474,VW
475,VW
483,VW
449,CHEVROLET
420,CHEVROLET
416,CHEVROLET
419,CHEVROLET
448,CHEVROLET
417,CHEVROLET
418,CHEVROLET
422,FIAT
421,FIAT
447,FIAT
423,FIAT
428,FORD
432,FORD
433,FORD
429,FORD
425,FORD
424,FORD
426,FORD
427,FORD
430,FORD
431,FORD
450,FORD
452,RENAULT
451,RENAULT
438,RENAULT
439,RENAULT
436,RENAULT
437,RENAULT
440,RENAULT
441,RENAULT
434,RENAULT
435,RENAULT
442,VW
443,VW
444,VW
446,VW
445,VW
409,CHEVROLET
406,CHEVROLET
410,FIAT
411,FIAT
404,FIAT
413,FIAT
407,FIAT
412,FIAT
402,FORD
405,FORD
414,RENAULT
403,VW
408,VW
396,CHEVROLET
398,CHEVROLET
397,CHEVROLET
388,CHEVROLET
387,CHEVROLET
399,CHEVROLET
386,FIAT
385,FIAT
391,FORD
389,PEUGEOT
390,PEUGEOT
383,DODGE
395,RENAULT
380,RENAULT
384,RENAULT
393,RENAULT
392,RENAULT
394,VW
381,VW
382,VW
453,VW
400,FORD
401,VW
415,FIAT
